epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,15551.8,0.80211,1.11866,0.43579,1.01935,0,0.99757,0.9933,0.995,0.87857,0.99757,0.9933,0.995,0.87045,0.54714,0.75073,0.25818,0.90023,0,0.0291921,0.0097307,0.0291921,0.0097307,0.0291921,0.0097307,0.0291921,0.0097307
23,16197,0.78584,1.09626,0.4274,1.01173,0,0.99612,0.99388,0.99499,0.88171,0.99612,0.99388,0.99499,0.87318,0.52561,0.73411,0.25472,0.89345,0,0.0291141,0.0097047,0.0291141,0.0097047,0.0291141,0.0097047,0.0291141,0.0097047
24,16802.7,0.76831,1.06993,0.41832,1.00252,0,0.99612,0.99289,0.99497,0.88301,0.99563,0.99241,0.99497,0.87336,0.52091,0.72619,0.2496,0.89014,0,0.0290326,0.00967754,0.0290326,0.00967754,0.0290326,0.00967754,0.0290326,0.00967754
25,17385.2,0.75727,1.05733,0.41352,1.00055,0,0.99854,0.99173,0.99499,0.88992,0.99854,0.99145,0.99499,0.87748,0.51065,0.7092,0.24959,0.88943,0,0.0289477,0.00964923,0.0289477,0.00964923,0.0289477,0.00964923,0.0289477,0.00964923
26,17967.6,0.74697,1.04112,0.40601,0.9913,0,0.99806,0.99321,0.99499,0.89336,0.99836,0.99178,0.99499,0.88393,0.49413,0.68119,0.24235,0.87581,0,0.0288593,0.00961978,0.0288593,0.00961978,0.0288593,0.00961978,0.0288593,0.00961978
27,18592,0.73739,1.03134,0.4035,0.99178,0,0.99613,0.99606,0.995,0.90218,0.99613,0.99606,0.995,0.88999,0.47043,0.66955,0.23191,0.87197,0,0.0287676,0.00958918,0.0287676,0.00958918,0.0287676,0.00958918,0.0287676,0.00958918
28,19217.8,0.72703,1.0307,0.39896,0.98422,0,0.99564,0.99419,0.99498,0.90319,0.99564,0.99419,0.99497,0.8896,0.47568,0.66671,0.23363,0.87489,0,0.0286724,0.00955746,0.0286724,0.00955746,0.0286724,0.00955746,0.0286724,0.00955746
29,19850,0.71466,1.00884,0.39537,0.9768,0,0.9981,0.99129,0.99499,0.90851,0.99566,0.99323,0.99498,0.89365,0.45672,0.64777,0.22489,0.86487,0,0.0285738,0.00952461,0.0285738,0.00952461,0.0285738,0.00952461,0.0285738,0.00952461
30,20467.7,0.7027,0.99127,0.38687,0.97064,0,0.99709,0.99615,0.99499,0.90742,0.99709,0.99615,0.99499,0.89637,0.45177,0.63697,0.22198,0.86062,0,0.0284719,0.00949065,0.0284719,0.00949065,0.0284719,0.00949065,0.0284719,0.00949065
31,21377.8,0.69678,0.98265,0.38316,0.97055,0,0.99854,0.99508,0.99499,0.91126,0.99806,0.99459,0.99499,0.89652,0.44299,0.63156,0.2199,0.85963,0,0.0283667,0.00945558,0.0283667,0.00945558,0.0283667,0.00945558,0.0283667,0.00945558
