epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11565.4,0.96913,0.45614,1.0643,0.99902,0.99047,0.995,0.81662,0.74431,0.31217,0.95545,0.000828443,0.000828443,0.000828443
43,11822.4,0.95589,0.45074,1.05825,0.99902,0.98856,0.99496,0.8225,0.72672,0.3096,0.9494,0.000820525,0.000820525,0.000820525
44,12089.9,0.95329,0.45436,1.06242,0.99756,0.98907,0.99495,0.82732,0.70484,0.30466,0.94259,0.000812468,0.000812468,0.000812468
45,12353.5,0.93341,0.44223,1.04853,0.99854,0.99012,0.99499,0.83571,0.682,0.29845,0.93493,0.000804277,0.000804277,0.000804277
46,12625.3,0.93321,0.44447,1.05467,0.99853,0.98854,0.99494,0.8344,0.68199,0.29542,0.93261,0.000795954,0.000795954,0.000795954
47,12896.4,0.92928,0.43846,1.04898,0.99466,0.99143,0.99495,0.83143,0.69263,0.29462,0.93247,0.000787503,0.000787503,0.000787503
48,13167.7,0.92685,0.43564,1.0477,0.99951,0.99022,0.995,0.83456,0.6759,0.29082,0.92613,0.000778929,0.000778929,0.000778929
49,13435.7,0.91756,0.43507,1.04181,0.99854,0.99137,0.995,0.83989,0.66276,0.28587,0.91996,0.000770234,0.000770234,0.000770234
50,13697.4,0.90121,0.42702,1.03147,0.99708,0.99206,0.99499,0.843,0.66048,0.28402,0.91307,0.000761423,0.000761423,0.000761423
51,13969,0.90818,0.43194,1.03845,0.99919,0.99032,0.995,0.84757,0.64558,0.28155,0.91125,0.0007525,0.0007525,0.0007525
52,14241.1,0.89595,0.42692,1.03272,0.99708,0.99203,0.99497,0.84837,0.64382,0.27883,0.90901,0.000743468,0.000743468,0.000743468
53,14511.8,0.88025,0.41906,1.02358,0.99913,0.99032,0.995,0.8531,0.63393,0.27674,0.90751,0.000734332,0.000734332,0.000734332
54,14782,0.88622,0.42432,1.02458,0.99778,0.99226,0.995,0.85294,0.62471,0.27353,0.90436,0.000725094,0.000725094,0.000725094
55,15041.3,0.87859,0.41943,1.02106,0.9966,0.99398,0.995,0.85632,0.61576,0.27287,0.90102,0.000715761,0.000715761,0.000715761
56,15313,0.86984,0.4132,1.01786,0.99612,0.99452,0.995,0.85832,0.61138,0.27021,0.89888,0.000706335,0.000706335,0.000706335
57,15584.7,0.85881,0.40951,1.00884,0.99904,0.98984,0.99499,0.86214,0.60198,0.26811,0.89444,0.00069682,0.00069682,0.00069682
58,15856.2,0.86145,0.4112,1.01168,0.9966,0.99372,0.995,0.86276,0.59683,0.26742,0.89215,0.000687222,0.000687222,0.000687222
59,16127.8,0.84938,0.41354,1.00419,0.99661,0.99468,0.995,0.86451,0.58981,0.26645,0.88948,0.000677543,0.000677543,0.000677543
60,16386.6,0.85096,0.411,1.00733,0.99749,0.99565,0.995,0.86777,0.58052,0.26402,0.88714,0.000667789,0.000667789,0.000667789
61,16658.5,0.8431,0.40536,1.00036,0.99661,0.99644,0.995,0.86934,0.57755,0.26196,0.88527,0.000657963,0.000657963,0.000657963
62,16930.5,0.84381,0.40506,1.00207,0.99662,0.99709,0.995,0.87275,0.57299,0.25921,0.8832,0.000648071,0.000648071,0.000648071
63,17201.1,0.82891,0.39933,0.99231,0.99787,0.99758,0.995,0.87253,0.56916,0.25822,0.8813,0.000638115,0.000638115,0.000638115
64,17471.5,0.81769,0.39539,0.98922,0.99899,0.99758,0.995,0.87427,0.5615,0.25667,0.87865,0.000628101,0.000628101,0.000628101
65,17729,0.81525,0.39277,0.99174,0.99806,0.99617,0.995,0.87589,0.55752,0.25603,0.87646,0.000618034,0.000618034,0.000618034
66,18000.7,0.81613,0.39108,0.98433,0.99825,0.99516,0.995,0.87685,0.55512,0.25277,0.87454,0.000607916,0.000607916,0.000607916
67,18271.6,0.80342,0.38843,0.98272,0.99693,0.99516,0.995,0.87635,0.55167,0.25111,0.87265,0.000597754,0.000597754,0.000597754
68,18543.2,0.80245,0.38924,0.97819,0.99661,0.99527,0.995,0.87667,0.55132,0.2509,0.8712,0.000587551,0.000587551,0.000587551
69,18814.6,0.78212,0.37628,0.97233,0.99757,0.99485,0.99499,0.87648,0.54752,0.24922,0.86963,0.000577311,0.000577311,0.000577311
70,19074.7,0.79523,0.38138,0.97896,0.99709,0.99602,0.99499,0.8804,0.54098,0.24803,0.86752,0.00056704,0.00056704,0.00056704
71,19345,0.78185,0.37768,0.97083,0.99709,0.99568,0.99499,0.88099,0.53933,0.24676,0.86625,0.000556742,0.000556742,0.000556742
72,19616.3,0.7812,0.37897,0.97001,0.99661,0.99616,0.99499,0.88101,0.53708,0.24512,0.86474,0.000546421,0.000546421,0.000546421
73,19887.1,0.77974,0.3761,0.96999,0.99791,0.99661,0.995,0.88273,0.53489,0.24369,0.86364,0.000536081,0.000536081,0.000536081
74,20158.6,0.76517,0.37024,0.96046,0.99733,0.99661,0.995,0.88384,0.5324,0.24286,0.86257,0.000525728,0.000525728,0.000525728
75,20420.4,0.76593,0.36873,0.96281,0.99767,0.9971,0.995,0.88283,0.52936,0.24086,0.86118,0.000515366,0.000515366,0.000515366
76,20686.8,0.76069,0.37022,0.96048,0.99833,0.9971,0.995,0.88474,0.52478,0.23991,0.85993,0.000505,0.000505,0.000505
77,20958.2,0.75584,0.36935,0.95913,0.99825,0.9971,0.995,0.88634,0.52053,0.23793,0.85859,0.000494634,0.000494634,0.000494634
78,21229.8,0.75321,0.36592,0.95932,0.99777,0.9971,0.99499,0.887,0.5173,0.23685,0.85753,0.000484272,0.000484272,0.000484272
79,21500.8,0.7515,0.36402,0.957,0.99774,0.9971,0.99499,0.88727,0.51479,0.23604,0.85654,0.000473919,0.000473919,0.000473919
80,21765.2,0.73766,0.35743,0.9516,0.99806,0.99744,0.99498,0.88842,0.51182,0.23483,0.85555,0.000463579,0.000463579,0.000463579
81,22029.5,0.73451,0.35702,0.95215,0.99801,0.99758,0.99499,0.88908,0.51,0.23392,0.85492,0.000453258,0.000453258,0.000453258
82,22301.7,0.73068,0.35206,0.95144,0.99834,0.99758,0.995,0.88815,0.50835,0.23261,0.85443,0.00044296,0.00044296,0.00044296
83,22572.7,0.72979,0.35258,0.94842,0.99873,0.99758,0.995,0.88902,0.50607,0.23187,0.85347,0.000432689,0.000432689,0.000432689
84,22844,0.71745,0.34797,0.94741,0.99784,0.99758,0.995,0.88951,0.50419,0.23137,0.85287,0.000422449,0.000422449,0.000422449
85,23110.5,0.71631,0.34587,0.94299,0.99821,0.99758,0.995,0.88947,0.50279,0.23017,0.85216,0.000412246,0.000412246,0.000412246
86,23372.5,0.70827,0.34102,0.94286,0.99871,0.99758,0.995,0.89089,0.50117,0.23001,0.85174,0.000402084,0.000402084,0.000402084
