epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
130,55688.1,0.39454,0.21439,0.86175,0.99991,0.99806,0.995,0.96524,0.27044,0.13988,0.79523,0.00842251,0.0028075,0.00842251,0.0028075,0.00842251,0.0028075,0.00842251,0.0028075
131,56061.2,0.38984,0.21155,0.85994,0.99991,0.99806,0.995,0.96546,0.26992,0.13983,0.79502,0.00821195,0.00273732,0.00821195,0.00273732,0.00821195,0.00273732,0.00821195,0.00273732
132,56431.4,0.39231,0.21336,0.85877,0.99946,0.99855,0.995,0.96532,0.26951,0.13976,0.79495,0.00800307,0.00266769,0.00800307,0.00266769,0.00800307,0.00266769,0.00800307,0.00266769
133,56805.3,0.38756,0.20943,0.85824,0.99946,0.99855,0.995,0.9655,0.26905,0.13971,0.79483,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864
134,57179.3,0.3866,0.2083,0.85734,0.99946,0.99855,0.995,0.96556,0.26842,0.13933,0.79464,0.00759055,0.00253018,0.00759055,0.00253018,0.00759055,0.00253018,0.00759055,0.00253018
135,57545.7,0.38127,0.20763,0.85556,0.99952,0.99903,0.995,0.9667,0.2679,0.13885,0.7944,0.00738701,0.00246234,0.00738701,0.00246234,0.00738701,0.00246234,0.00738701,0.00246234
136,57909.6,0.37958,0.20718,0.85694,0.99952,0.99904,0.995,0.96573,0.26741,0.13846,0.79423,0.00718536,0.00239512,0.00718536,0.00239512,0.00718536,0.00239512,0.00718536,0.00239512
137,58274.9,0.37665,0.20519,0.85407,0.99952,0.99902,0.995,0.96601,0.26682,0.13832,0.79395,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855
138,58638.3,0.37646,0.2043,0.85367,0.99952,0.99903,0.995,0.96595,0.26607,0.13753,0.79364,0.00678789,0.00226263,0.00678789,0.00226263,0.00678789,0.00226263,0.00678789,0.00226263
139,59009,0.37477,0.2012,0.85501,0.99952,0.99893,0.995,0.967,0.26554,0.13741,0.79349,0.00659218,0.00219739,0.00659218,0.00219739,0.00659218,0.00219739,0.00659218,0.00219739
140,59379.4,0.37215,0.20037,0.85355,0.99952,0.99892,0.995,0.96694,0.26473,0.13745,0.79317,0.00639855,0.00213285,0.00639855,0.00213285,0.00639855,0.00213285,0.00639855,0.00213285
141,59741.7,0.36808,0.20037,0.85275,0.99952,0.99892,0.995,0.96707,0.2642,0.13732,0.79303,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901
142,60104.5,0.36225,0.19842,0.84777,0.99914,0.99903,0.995,0.96691,0.26375,0.1373,0.79281,0.0060177,0.0020059,0.0060177,0.0020059,0.0060177,0.0020059,0.0060177,0.0020059
143,60468,0.36152,0.19565,0.84884,0.99903,0.99908,0.995,0.96717,0.26342,0.13714,0.79264,0.00583059,0.00194353,0.00583059,0.00194353,0.00583059,0.00194353,0.00583059,0.00194353
144,60829.6,0.36285,0.19842,0.8479,0.99903,0.9991,0.995,0.96708,0.26281,0.13747,0.79244,0.00564574,0.00188191,0.00564574,0.00188191,0.00564574,0.00188191,0.00564574,0.00188191
145,61201.6,0.3568,0.1941,0.84729,0.99903,0.99918,0.995,0.96702,0.26253,0.13702,0.79234,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107
146,61565.1,0.35396,0.19433,0.84857,0.99903,0.99922,0.995,0.96706,0.26169,0.13697,0.79217,0.00528302,0.00176101,0.00528302,0.00176101,0.00528302,0.00176101,0.00528302,0.00176101
147,61927.9,0.35253,0.19334,0.84502,0.99952,0.99929,0.995,0.96735,0.26109,0.13665,0.79195,0.00510524,0.00170175,0.00510524,0.00170175,0.00510524,0.00170175,0.00510524,0.00170175
148,62290.7,0.35047,0.19115,0.84452,0.99952,0.99931,0.995,0.96718,0.26065,0.13663,0.79183,0.00492991,0.0016433,0.00492991,0.0016433,0.00492991,0.0016433,0.00492991,0.0016433
149,62654.1,0.34862,0.19005,0.84439,0.99952,0.99935,0.995,0.96741,0.25992,0.13626,0.7917,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569
150,63021.6,0.35103,0.19326,0.84556,0.99952,0.99935,0.995,0.96723,0.25962,0.13636,0.79161,0.00458675,0.00152892,0.00458675,0.00152892,0.00458675,0.00152892,0.00458675,0.00152892
151,63385.8,0.34385,0.18796,0.84151,0.99952,0.99937,0.995,0.96746,0.25911,0.13617,0.7914,0.004419,0.001473,0.004419,0.001473,0.004419,0.001473,0.004419,0.001473
152,63748.1,0.34064,0.1883,0.84051,0.99952,0.99938,0.995,0.96842,0.25821,0.13638,0.79111,0.00425388,0.00141796,0.00425388,0.00141796,0.00425388,0.00141796,0.00425388,0.00141796
153,64110,0.33915,0.18602,0.84056,0.99952,0.9994,0.995,0.96868,0.25792,0.13559,0.79079,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638
154,64472.7,0.33718,0.18423,0.83871,0.99952,0.99941,0.995,0.96854,0.25712,0.13547,0.79035,0.00393163,0.00131054,0.00393163,0.00131054,0.00393163,0.00131054,0.00393163,0.00131054
155,64835.1,0.33675,0.18391,0.8399,0.99952,0.99941,0.995,0.96858,0.25678,0.13467,0.79016,0.00377459,0.0012582,0.00377459,0.0012582,0.00377459,0.0012582,0.00377459,0.0012582
156,65204,0.33684,0.1838,0.83987,0.99952,0.99941,0.995,0.96884,0.25642,0.13506,0.78988,0.00362032,0.00120677,0.00362032,0.00120677,0.00362032,0.00120677,0.00362032,0.00120677
157,65566.7,0.32851,0.18106,0.83819,0.99952,0.9994,0.995,0.96896,0.25595,0.13473,0.78962,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629
158,65929.7,0.32821,0.18093,0.83692,0.99952,0.9994,0.995,0.96915,0.2553,0.13423,0.78931,0.00332025,0.00110675,0.00332025,0.00110675,0.00332025,0.00110675,0.00332025,0.00110675
159,66291.9,0.32496,0.17679,0.83764,0.99952,0.9994,0.995,0.96899,0.25507,0.13411,0.78912,0.00317453,0.00105818,0.00317453,0.00105818,0.00317453,0.00105818,0.00317453,0.00105818
160,66675.7,0.3281,0.17943,0.83958,0.99952,0.99941,0.995,0.96891,0.25455,0.134,0.78893,0.00303173,0.00101058,0.00303173,0.00101058,0.00303173,0.00101058,0.00303173,0.00101058
161,67103.7,0.3213,0.17766,0.83525,0.99952,0.99943,0.995,0.96901,0.25401,0.13347,0.78871,0.00289188,0.00096396,0.00289188,0.00096396,0.00289188,0.00096396,0.00289188,0.00096396
162,67483.4,0.31877,0.17621,0.83389,0.99981,0.99903,0.995,0.96883,0.2538,0.13328,0.78852,0.00275503,0.000918342,0.00275503,0.000918342,0.00275503,0.000918342,0.00275503,0.000918342
163,67851,0.31928,0.1763,0.83392,0.99985,0.99903,0.995,0.96892,0.25361,0.1327,0.78832,0.0026212,0.000873733,0.0026212,0.000873733,0.0026212,0.000873733,0.0026212,0.000873733
164,68214.3,0.32108,0.17486,0.837,0.99987,0.99903,0.995,0.9701,0.25299,0.13291,0.78802,0.00249043,0.000830142,0.00249043,0.000830142,0.00249043,0.000830142,0.00249043,0.000830142
165,68576.6,0.31764,0.17456,0.83464,0.99988,0.99903,0.995,0.97017,0.25257,0.13272,0.78777,0.00236275,0.000787582,0.00236275,0.000787582,0.00236275,0.000787582,0.00236275,0.000787582
166,68938.9,0.30845,0.17098,0.82749,0.9999,0.99903,0.995,0.96993,0.25228,0.13233,0.78753,0.00223819,0.000746062,0.00223819,0.000746062,0.00223819,0.000746062,0.00223819,0.000746062
167,69308.8,0.31592,0.17336,0.83367,0.99991,0.99903,0.995,0.97022,0.25185,0.13216,0.78712,0.00211678,0.000705594,0.00211678,0.000705594,0.00211678,0.000705594,0.00211678,0.000705594
168,69673,0.30865,0.16996,0.82983,0.99991,0.99903,0.995,0.9703,0.25133,0.13211,0.78691,0.00199856,0.000666186,0.00199856,0.000666186,0.00199856,0.000666186,0.00199856,0.000666186
169,70035.9,0.3103,0.16926,0.83251,0.99992,0.99903,0.995,0.97034,0.25073,0.13198,0.78643,0.00188354,0.000627848,0.00188354,0.000627848,0.00188354,0.000627848,0.00188354,0.000627848
170,70398.2,0.3092,0.16959,0.83213,0.99992,0.99903,0.995,0.9706,0.25017,0.13148,0.78611,0.00177177,0.000590591,0.00177177,0.000590591,0.00177177,0.000590591,0.00177177,0.000590591
171,70760.8,0.30675,0.16792,0.82953,0.99992,0.99903,0.995,0.97147,0.24968,0.13141,0.78597,0.00166327,0.000554422,0.00166327,0.000554422,0.00166327,0.000554422,0.00166327,0.000554422
172,71127,0.30377,0.16768,0.82913,1,0.9994,0.995,0.97044,0.24922,0.1313,0.78574,0.00155806,0.000519352,0.00155806,0.000519352,0.00155806,0.000519352,0.00155806,0.000519352
173,71490,0.30313,0.16638,0.82856,1,0.99942,0.995,0.97159,0.24866,0.1317,0.78552,0.00145617,0.000485389,0.00145617,0.000485389,0.00145617,0.000485389,0.00145617,0.000485389
174,71853.6,0.30187,0.16407,0.82859,1,0.99943,0.995,0.97162,0.24822,0.13155,0.78533,0.00135762,0.000452541,0.00135762,0.000452541,0.00135762,0.000452541,0.00135762,0.000452541
175,72216.8,0.29987,0.16442,0.82835,1,0.99944,0.995,0.97169,0.24779,0.1313,0.78508,0.00126245,0.000420816,0.00126245,0.000420816,0.00126245,0.000420816,0.00126245,0.000420816
176,72579.4,0.29785,0.16248,0.82874,1,0.99944,0.995,0.97164,0.24736,0.13107,0.7848,0.00117067,0.000390222,0.00117067,0.000390222,0.00117067,0.000390222,0.00117067,0.000390222
177,72942.2,0.29572,0.16183,0.8273,1,0.99943,0.995,0.97262,0.24696,0.13082,0.78452,0.0010823,0.000360766,0.0010823,0.000360766,0.0010823,0.000360766,0.0010823,0.000360766
178,73342.1,0.29712,0.1612,0.8282,1,0.99941,0.995,0.97277,0.24623,0.13043,0.78414,0.000997371,0.000332457,0.000997371,0.000332457,0.000997371,0.000332457,0.000997371,0.000332457
179,73720.6,0.29394,0.16004,0.82664,1,0.99939,0.995,0.97288,0.24566,0.1308,0.78389,0.000915902,0.000305301,0.000915902,0.000305301,0.000915902,0.000305301,0.000915902,0.000305301
180,74097.4,0.29834,0.16299,0.82661,0.99996,0.99903,0.995,0.97306,0.2452,0.13035,0.78359,0.000837911,0.000279304,0.000837911,0.000279304,0.000837911,0.000279304,0.000837911,0.000279304
181,74469.2,0.29427,0.15888,0.82727,0.99997,0.99903,0.995,0.97293,0.24494,0.12978,0.7833,0.000763418,0.000254473,0.000763418,0.000254473,0.000763418,0.000254473,0.000763418,0.000254473
182,74834.6,0.29696,0.16119,0.82821,0.99998,0.99903,0.995,0.97301,0.24454,0.12957,0.78302,0.000692442,0.000230814,0.000692442,0.000230814,0.000692442,0.000230814,0.000692442,0.000230814
183,75208.7,0.29161,0.15994,0.8277,0.99999,0.99903,0.995,0.974,0.24418,0.12983,0.78268,0.000624999,0.000208333,0.000624999,0.000208333,0.000624999,0.000208333,0.000624999,0.000208333
184,75593.5,0.29163,0.16102,0.82701,1,0.99903,0.995,0.97413,0.24369,0.12983,0.78241,0.000561107,0.000187036,0.000561107,0.000187036,0.000561107,0.000187036,0.000561107,0.000187036
185,75966.3,0.28653,0.15624,0.82389,1,0.99902,0.995,0.97424,0.24326,0.12964,0.7821,0.000500781,0.000166927,0.000500781,0.000166927,0.000500781,0.000166927,0.000500781,0.000166927
186,76414.2,0.29009,0.15984,0.82389,1,0.999,0.995,0.97516,0.24283,0.12961,0.78189,0.000444037,0.000148012,0.000444037,0.000148012,0.000444037,0.000148012,0.000444037,0.000148012
187,76836.4,0.29052,0.15799,0.82587,1,0.99899,0.995,0.97519,0.24238,0.12996,0.78167,0.000390887,0.000130296,0.000390887,0.000130296,0.000390887,0.000130296,0.000390887,0.000130296
188,77262.2,0.28869,0.15662,0.82335,1,0.99898,0.995,0.97527,0.24217,0.1301,0.78145,0.000341346,0.000113782,0.000341346,0.000113782,0.000341346,0.000113782,0.000341346,0.000113782
189,77679.2,0.2873,0.15659,0.82541,0.99948,0.99952,0.995,0.97506,0.24176,0.12962,0.78124,0.000295426,9.84752e-05,0.000295426,9.84752e-05,0.000295426,9.84752e-05,0.000295426,9.84752e-05
190,78120,0.28381,0.15407,0.82271,0.99948,0.99952,0.995,0.97518,0.24139,0.12948,0.78108,0.000253137,8.43789e-05,0.000253137,8.43789e-05,0.000253137,8.43789e-05,0.000253137,8.43789e-05
191,78491.6,0.21622,0.11591,0.7886,0.99948,0.99952,0.995,0.97523,0.24085,0.12897,0.78091,0.00021449,7.14967e-05,0.00021449,7.14967e-05,0.00021449,7.14967e-05,0.00021449,7.14967e-05
192,78885.1,0.20971,0.11428,0.78546,0.99948,0.99952,0.995,0.97534,0.24059,0.12901,0.78075,0.000179495,5.98318e-05,0.000179495,5.98318e-05,0.000179495,5.98318e-05,0.000179495,5.98318e-05
193,79254.8,0.20588,0.11295,0.78358,0.99948,0.99952,0.995,0.97436,0.24021,0.12898,0.78059,0.000148161,4.93871e-05,0.000148161,4.93871e-05,0.000148161,4.93871e-05,0.000148161,4.93871e-05
194,79650.7,0.20699,0.1132,0.78586,0.99948,0.99952,0.995,0.97439,0.23985,0.12879,0.78047,0.000120495,4.0165e-05,0.000120495,4.0165e-05,0.000120495,4.0165e-05,0.000120495,4.0165e-05
195,80044.7,0.20501,0.11147,0.78387,0.99948,0.99952,0.995,0.97447,0.2394,0.1287,0.7804,9.6504e-05,3.2168e-05,9.6504e-05,3.2168e-05,9.6504e-05,3.2168e-05,9.6504e-05,3.2168e-05
196,80440.1,0.20082,0.1107,0.78212,0.99948,0.99952,0.995,0.97454,0.23905,0.12816,0.78031,7.61938e-05,2.53979e-05,7.61938e-05,2.53979e-05,7.61938e-05,2.53979e-05,7.61938e-05,2.53979e-05
197,80820.6,0.20312,0.11089,0.78349,0.99949,0.99952,0.995,0.97546,0.23876,0.12788,0.78018,5.95695e-05,1.98565e-05,5.95695e-05,1.98565e-05,5.95695e-05,1.98565e-05,5.95695e-05,1.98565e-05
198,81209.5,0.20135,0.11119,0.78178,0.99949,0.99952,0.995,0.97448,0.2384,0.12779,0.78009,4.66352e-05,1.55451e-05,4.66352e-05,1.55451e-05,4.66352e-05,1.55451e-05,4.66352e-05,1.55451e-05
199,81594.4,0.19774,0.10935,0.78371,0.99949,0.99952,0.995,0.97542,0.23809,0.12726,0.77999,3.73942e-05,1.24647e-05,3.73942e-05,1.24647e-05,3.73942e-05,1.24647e-05,3.73942e-05,1.24647e-05
200,81996.7,0.20334,0.11222,0.78299,0.99948,0.99952,0.995,0.97547,0.23778,0.12732,0.77983,3.18487e-05,1.06162e-05,3.18487e-05,1.06162e-05,3.18487e-05,1.06162e-05,3.18487e-05,1.06162e-05
