epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,18630.9,0.72386,0.38446,1.01875,0.99687,0.99468,0.99498,0.8691,0.55924,0.25331,0.91509,0.0284719,0.00949065,0.0284719,0.00949065,0.0284719,0.00949065,0.0284719,0.00949065
31,18995.5,0.71895,0.38247,1.01934,0.99758,0.99602,0.995,0.87615,0.54315,0.24779,0.91405,0.0283667,0.00945558,0.0283667,0.00945558,0.0283667,0.00945558,0.0283667,0.00945558
32,19361.1,0.7103,0.37529,1.01154,0.99951,0.99537,0.995,0.87575,0.54036,0.2474,0.91245,0.0282582,0.00941941,0.0282582,0.00941941,0.0282582,0.00941941,0.0282582,0.00941941
33,19725.3,0.71198,0.37916,1.01666,0.99854,0.9951,0.995,0.88653,0.51074,0.24122,0.89684,0.0281465,0.00938215,0.0281465,0.00938215,0.0281465,0.00938215,0.0281465,0.00938215
34,20089.9,0.69523,0.36859,1.00326,0.99903,0.99617,0.995,0.88812,0.49452,0.23763,0.89934,0.0280314,0.00934381,0.0280314,0.00934381,0.0280314,0.00934381,0.0280314,0.00934381
35,20455.9,0.69763,0.37205,1.00621,0.99946,0.9971,0.995,0.89042,0.48678,0.23626,0.88985,0.0279132,0.00930441,0.0279132,0.00930441,0.0279132,0.00930441,0.0279132,0.00930441
36,20821.9,0.685,0.36615,0.99726,0.99834,0.99565,0.995,0.89267,0.47757,0.22935,0.88274,0.0277918,0.00926394,0.0277918,0.00926394,0.0277918,0.00926394,0.0277918,0.00926394
37,21186.9,0.68107,0.36604,1.00451,0.99903,0.99502,0.995,0.8979,0.48172,0.23324,0.89176,0.0276673,0.00922242,0.0276673,0.00922242,0.0276673,0.00922242,0.0276673,0.00922242
38,21552.6,0.67623,0.3626,1.00211,0.99855,0.99628,0.995,0.8983,0.46641,0.227,0.88783,0.0275396,0.00917986,0.0275396,0.00917986,0.0275396,0.00917986,0.0275396,0.00917986
39,21918.2,0.67365,0.35574,0.99362,0.99889,0.99613,0.995,0.90155,0.45697,0.21892,0.87347,0.0274088,0.00913627,0.0274088,0.00913627,0.0274088,0.00913627,0.0274088,0.00913627
40,22285.4,0.66292,0.35018,0.98629,1,0.99487,0.995,0.90887,0.44419,0.21216,0.86503,0.027275,0.00909166,0.027275,0.00909166,0.027275,0.00909166,0.027275,0.00909166
41,22651.4,0.66229,0.35469,0.98804,0.99911,0.99565,0.995,0.90866,0.44562,0.21417,0.86793,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604
42,23017.3,0.64794,0.34325,0.97968,0.99951,0.99677,0.995,0.91288,0.4296,0.20729,0.86779,0.0269983,0.00899942,0.0269983,0.00899942,0.0269983,0.00899942,0.0269983,0.00899942
43,23382.4,0.65351,0.3485,0.98346,0.99965,0.99468,0.995,0.91678,0.42178,0.20856,0.85807,0.0268555,0.00895182,0.0268555,0.00895182,0.0268555,0.00895182,0.0268555,0.00895182
44,23747.7,0.64531,0.3465,0.9803,0.99855,0.99682,0.995,0.92057,0.40599,0.20357,0.85484,0.0267097,0.00890325,0.0267097,0.00890325,0.0267097,0.00890325,0.0267097,0.00890325
45,24113.2,0.64015,0.34171,0.97426,0.9988,0.99613,0.995,0.91935,0.40819,0.20284,0.85769,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371
46,24477.6,0.64091,0.33784,0.9759,0.99883,0.99758,0.995,0.91986,0.40586,0.19933,0.85819,0.0264097,0.00880323,0.0264097,0.00880323,0.0264097,0.00880323,0.0264097,0.00880323
47,24843.7,0.6279,0.33671,0.97279,0.99825,0.99661,0.995,0.92274,0.40593,0.19938,0.85693,0.0262554,0.0087518,0.0262554,0.0087518,0.0262554,0.0087518,0.0262554,0.0087518
48,25208.6,0.62018,0.33108,0.95973,0.99909,0.99758,0.995,0.92263,0.3962,0.19378,0.84715,0.0260984,0.00869946,0.0260984,0.00869946,0.0260984,0.00869946,0.0260984,0.00869946
49,25573.6,0.62402,0.32931,0.96363,0.99903,0.99749,0.995,0.92462,0.39479,0.19247,0.84566,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462
50,25939.5,0.6237,0.32913,0.9618,0.99901,0.9971,0.995,0.921,0.39974,0.19466,0.8463,0.0257761,0.00859204,0.0257761,0.00859204,0.0257761,0.00859204,0.0257761,0.00859204
51,26303.9,0.61912,0.32719,0.96108,0.99903,0.99735,0.995,0.92779,0.38697,0.19002,0.84258,0.025611,0.008537,0.025611,0.008537,0.025611,0.008537,0.025611,0.008537
52,26668.6,0.61717,0.32692,0.96548,0.99952,0.99713,0.995,0.93201,0.37703,0.18661,0.84109,0.0254433,0.00848108,0.0254433,0.00848108,0.0254433,0.00848108,0.0254433,0.00848108
53,27033.3,0.60499,0.32265,0.95468,0.99938,0.9971,0.995,0.93227,0.37263,0.18563,0.83782,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431
54,27398.4,0.60397,0.32001,0.95572,0.99921,0.99758,0.995,0.9348,0.36544,0.18377,0.83495,0.0251001,0.0083667,0.0251001,0.0083667,0.0251001,0.0083667,0.0251001,0.0083667
55,27764.4,0.59914,0.32233,0.95677,0.99887,0.9971,0.995,0.93706,0.3631,0.18412,0.83619,0.0249248,0.00830825,0.0249248,0.00830825,0.0249248,0.00830825,0.0249248,0.00830825
56,28129.4,0.59632,0.31917,0.95217,0.99885,0.99806,0.995,0.93712,0.36134,0.18309,0.83407,0.024747,0.00824899,0.024747,0.00824899,0.024747,0.00824899,0.024747,0.00824899
57,28494.7,0.59008,0.31401,0.94249,0.99951,0.99672,0.995,0.93639,0.35827,0.17964,0.83049,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893
58,28859.5,0.58481,0.311,0.94531,0.99903,0.99683,0.995,0.93768,0.35761,0.17946,0.83069,0.0243843,0.00812809,0.0243843,0.00812809,0.0243843,0.00812809,0.0243843,0.00812809
59,29224.7,0.58996,0.31523,0.95163,1,0.99748,0.995,0.93689,0.35898,0.17885,0.83279,0.0241994,0.00806647,0.0241994,0.00806647,0.0241994,0.00806647,0.0241994,0.00806647
60,29589.3,0.58918,0.31396,0.95305,0.99931,0.99758,0.995,0.93732,0.3552,0.17771,0.83288,0.0240123,0.0080041,0.0240123,0.0080041,0.0240123,0.0080041,0.0240123,0.0080041
61,29954.3,0.57932,0.30942,0.94479,0.99992,0.9971,0.995,0.93911,0.35155,0.17545,0.83166,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099
62,30319.8,0.57975,0.31212,0.94498,0.99935,0.99806,0.995,0.94131,0.34629,0.17407,0.82946,0.0236315,0.00787715,0.0236315,0.00787715,0.0236315,0.00787715,0.0236315,0.00787715
63,30684.8,0.57618,0.30739,0.94244,0.99942,0.99806,0.995,0.94232,0.34228,0.17215,0.82689,0.0234378,0.00781261,0.0234378,0.00781261,0.0234378,0.00781261,0.0234378,0.00781261
64,31049.2,0.5694,0.30287,0.9335,0.99903,0.99775,0.995,0.94599,0.33962,0.1708,0.82304,0.0232421,0.00774737,0.0232421,0.00774737,0.0232421,0.00774737,0.0232421,0.00774737
65,31414.4,0.57272,0.30693,0.93696,0.99903,0.99758,0.995,0.94687,0.33553,0.16833,0.82045,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145
66,31778.8,0.56726,0.30037,0.93486,0.99952,0.99729,0.995,0.94854,0.33331,0.16816,0.81854,0.0228446,0.00761488,0.0228446,0.00761488,0.0228446,0.00761488,0.0228446,0.00761488
67,32144.1,0.56235,0.30158,0.93673,0.9996,0.99661,0.995,0.9488,0.32973,0.16762,0.81777,0.022643,0.00754766,0.022643,0.00754766,0.022643,0.00754766,0.022643,0.00754766
68,32509.2,0.55584,0.29788,0.93002,1,0.99664,0.995,0.94921,0.32799,0.1673,0.81594,0.0224394,0.00747982,0.0224394,0.00747982,0.0224394,0.00747982,0.0224394,0.00747982
69,32873.1,0.55643,0.29604,0.92941,0.99898,0.99758,0.995,0.94939,0.32683,0.16609,0.81527,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136
70,33239.2,0.55529,0.29558,0.93542,0.99896,0.99758,0.995,0.94913,0.32498,0.16511,0.81532,0.0220269,0.00734231,0.0220269,0.00734231,0.0220269,0.00734231,0.0220269,0.00734231
71,33604.4,0.5508,0.293,0.92586,0.99855,0.99752,0.995,0.95015,0.32339,0.16395,0.81357,0.021818,0.00727268,0.021818,0.00727268,0.021818,0.00727268,0.021818,0.00727268
72,33968.9,0.54696,0.28872,0.92429,0.99903,0.998,0.995,0.95012,0.32063,0.16243,0.81251,0.0216075,0.0072025,0.0216075,0.0072025,0.0216075,0.0072025,0.0216075,0.0072025
73,34334,0.54842,0.29348,0.92186,0.99853,0.99806,0.995,0.95163,0.31877,0.16212,0.81129,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177
74,34698.6,0.54139,0.28776,0.9217,0.99849,0.99806,0.995,0.95247,0.3175,0.16155,0.81124,0.0211815,0.00706051,0.0211815,0.00706051,0.0211815,0.00706051,0.0211815,0.00706051
75,35066.3,0.54026,0.28701,0.92278,0.99855,0.99805,0.995,0.95272,0.31659,0.16159,0.81117,0.0209663,0.00698875,0.0209663,0.00698875,0.0209663,0.00698875,0.0209663,0.00698875
76,35436,0.5422,0.2894,0.92521,0.99847,0.99806,0.995,0.95364,0.31574,0.16156,0.81099,0.0207495,0.0069165,0.0207495,0.0069165,0.0207495,0.0069165,0.0207495,0.0069165
77,35801.8,0.53382,0.28315,0.91939,0.99841,0.99806,0.995,0.95342,0.31471,0.1611,0.81042,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378
78,36167.4,0.52728,0.28012,0.91413,0.99852,0.99806,0.995,0.95365,0.31259,0.16027,0.80989,0.0203118,0.00677061,0.0203118,0.00677061,0.0203118,0.00677061,0.0203118,0.00677061
79,36531.7,0.52479,0.28014,0.9185,0.99855,0.99794,0.995,0.95501,0.31065,0.15918,0.80978,0.020091,0.006697,0.020091,0.006697,0.020091,0.006697,0.020091,0.006697
80,36897.3,0.53029,0.28424,0.92087,0.99855,0.99758,0.995,0.95602,0.3087,0.15825,0.80948,0.0198689,0.00662297,0.0198689,0.00662297,0.0198689,0.00662297,0.0198689,0.00662297
81,37261.4,0.52403,0.28135,0.91745,0.99903,0.9976,0.995,0.95627,0.307,0.15789,0.80929,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854
82,37625.9,0.5184,0.27894,0.91211,0.99903,0.99787,0.995,0.95602,0.30513,0.15715,0.80861,0.0194212,0.00647373,0.0194212,0.00647373,0.0194212,0.00647373,0.0194212,0.00647373
83,37990.4,0.52188,0.27647,0.91241,0.99905,0.9971,0.995,0.95675,0.30451,0.15651,0.80786,0.0191957,0.00639856,0.0191957,0.00639856,0.0191957,0.00639856,0.0191957,0.00639856
84,38354.9,0.52136,0.27778,0.91445,0.99948,0.99758,0.995,0.95597,0.30357,0.15604,0.80743,0.0189691,0.00632305,0.0189691,0.00632305,0.0189691,0.00632305,0.0189691,0.00632305
85,38719.3,0.50877,0.2725,0.90618,0.99952,0.99778,0.995,0.95598,0.30276,0.1554,0.80694,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721
86,39083.7,0.50586,0.26916,0.90526,0.99952,0.99787,0.995,0.95607,0.30236,0.15463,0.8066,0.0185132,0.00617106,0.0185132,0.00617106,0.0185132,0.00617106,0.0185132,0.00617106
87,39449.2,0.50846,0.27309,0.91014,0.99952,0.99792,0.995,0.95594,0.30138,0.15443,0.80626,0.0182839,0.00609463,0.0182839,0.00609463,0.0182839,0.00609463,0.0182839,0.00609463
88,39814.3,0.50854,0.27278,0.90713,0.99952,0.99785,0.995,0.95599,0.3003,0.15386,0.80549,0.0180538,0.00601792,0.0180538,0.00601792,0.0180538,0.00601792,0.0180538,0.00601792
89,40196.6,0.49564,0.26671,0.89838,0.99945,0.99758,0.995,0.95693,0.29876,0.15346,0.8049,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097
90,40574.6,0.49967,0.26882,0.90585,0.99949,0.99758,0.995,0.95716,0.2979,0.15282,0.80459,0.0175914,0.00586379,0.0175914,0.00586379,0.0175914,0.00586379,0.0175914,0.00586379
91,40953.4,0.49277,0.26421,0.90427,0.99978,0.99758,0.995,0.95713,0.29701,0.1528,0.80429,0.0173592,0.00578639,0.0173592,0.00578639,0.0173592,0.00578639,0.0173592,0.00578639
92,41332.8,0.49334,0.26292,0.90041,0.99986,0.99758,0.995,0.95702,0.296,0.15207,0.80396,0.0171264,0.0057088,0.0171264,0.0057088,0.0171264,0.0057088,0.0171264,0.0057088
93,41728.1,0.48864,0.2592,0.89882,0.99985,0.99758,0.995,0.95808,0.2949,0.15154,0.80335,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104
94,42129,0.49107,0.2626,0.89994,0.99903,0.99834,0.995,0.95843,0.29401,0.15108,0.80307,0.0166594,0.00555312,0.0166594,0.00555312,0.0166594,0.00555312,0.0166594,0.00555312
95,42526.6,0.48924,0.25959,0.89933,1,0.9979,0.995,0.95726,0.29335,0.15026,0.80265,0.0164252,0.00547507,0.0164252,0.00547507,0.0164252,0.00547507,0.0164252,0.00547507
96,42927.5,0.48789,0.26109,0.89754,1,0.99797,0.995,0.95816,0.29274,0.15022,0.80234,0.0161907,0.0053969,0.0161907,0.0053969,0.0161907,0.0053969,0.0161907,0.0053969
97,43321.5,0.47916,0.26015,0.89833,1,0.99796,0.995,0.95861,0.29198,0.15008,0.8024,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864
98,43718.8,0.47874,0.25868,0.89849,1,0.99803,0.995,0.95853,0.29132,0.14967,0.80241,0.0157209,0.0052403,0.0157209,0.0052403,0.0157209,0.0052403,0.0157209,0.0052403
99,44113.4,0.48132,0.25534,0.89297,0.99998,0.99806,0.995,0.95862,0.2908,0.14921,0.80201,0.0154857,0.0051619,0.0154857,0.0051619,0.0154857,0.0051619,0.0154857,0.0051619
100,44501.2,0.47242,0.25165,0.89141,0.99995,0.99806,0.995,0.95845,0.28994,0.14872,0.80175,0.0152504,0.00508346,0.0152504,0.00508346,0.0152504,0.00508346,0.0152504,0.00508346
101,44867.2,0.47563,0.25645,0.89526,0.99993,0.99806,0.995,0.95869,0.28922,0.14809,0.80144,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
102,45232.7,0.4684,0.24815,0.89055,0.99991,0.99806,0.995,0.95899,0.2885,0.14785,0.80123,0.0147796,0.00492654,0.0147796,0.00492654,0.0147796,0.00492654,0.0147796,0.00492654
103,45648.7,0.46523,0.24756,0.88724,0.99989,0.99806,0.995,0.95996,0.2879,0.14784,0.8007,0.0145443,0.0048481,0.0145443,0.0048481,0.0145443,0.0048481,0.0145443,0.0048481
104,46109.2,0.46898,0.25155,0.89168,0.99989,0.99806,0.995,0.96007,0.2871,0.14755,0.80057,0.0143091,0.0047697,0.0143091,0.0047697,0.0143091,0.0047697,0.0143091,0.0047697
105,46525.4,0.45811,0.24793,0.88789,0.9999,0.99806,0.995,0.96026,0.28643,0.14693,0.80043,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136
106,46912.7,0.46311,0.24826,0.89387,0.99991,0.99806,0.995,0.96022,0.28593,0.14662,0.80051,0.0138393,0.0046131,0.0138393,0.0046131,0.0138393,0.0046131,0.0138393,0.0046131
107,47275.6,0.45559,0.24387,0.88661,0.99991,0.99806,0.995,0.9601,0.28545,0.1466,0.80034,0.0136048,0.00453493,0.0136048,0.00453493,0.0136048,0.00453493,0.0136048,0.00453493
108,47638.6,0.45768,0.24407,0.88755,0.99991,0.99806,0.995,0.96022,0.28491,0.14619,0.80023,0.0133706,0.00445688,0.0133706,0.00445688,0.0133706,0.00445688,0.0133706,0.00445688
109,48001.2,0.45181,0.24279,0.88312,0.99991,0.99806,0.995,0.96005,0.28433,0.14603,0.80001,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896
110,48363.5,0.44817,0.2418,0.88435,0.99991,0.99806,0.995,0.96034,0.28367,0.14576,0.79993,0.0129036,0.0043012,0.0129036,0.0043012,0.0129036,0.0043012,0.0129036,0.0043012
111,48725.6,0.44758,0.23907,0.8824,0.99991,0.99806,0.995,0.96041,0.28294,0.1459,0.79959,0.0126708,0.00422361,0.0126708,0.00422361,0.0126708,0.00422361,0.0126708,0.00422361
112,49092.9,0.44625,0.24136,0.88089,0.99991,0.99806,0.995,0.96044,0.28223,0.14529,0.79928,0.0124386,0.00414621,0.0124386,0.00414621,0.0124386,0.00414621,0.0124386,0.00414621
113,49456.3,0.44092,0.23648,0.87695,0.99991,0.99806,0.995,0.96063,0.28169,0.14457,0.79911,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903
114,49819.3,0.4378,0.23475,0.87674,0.99991,0.99806,0.995,0.96155,0.28127,0.14476,0.79883,0.0119762,0.00399208,0.0119762,0.00399208,0.0119762,0.00399208,0.0119762,0.00399208
115,50180.5,0.43504,0.23525,0.87969,0.99991,0.99806,0.995,0.96191,0.28076,0.14405,0.79884,0.0117461,0.00391537,0.0117461,0.00391537,0.0117461,0.00391537,0.0117461,0.00391537
116,50541.6,0.42957,0.23337,0.87934,0.99992,0.99806,0.995,0.962,0.28039,0.14367,0.79893,0.0115168,0.00383894,0.0115168,0.00383894,0.0115168,0.00383894,0.0115168,0.00383894
117,50903.5,0.42863,0.23118,0.87415,0.99992,0.99806,0.995,0.96201,0.27975,0.14328,0.79871,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279
118,51265.1,0.42437,0.23037,0.87353,0.99991,0.99806,0.995,0.96187,0.27909,0.14261,0.79863,0.0110609,0.00368695,0.0110609,0.00368695,0.0110609,0.00368695,0.0110609,0.00368695
119,51625.8,0.42089,0.22646,0.86819,0.99991,0.99806,0.995,0.96292,0.27839,0.14264,0.79817,0.0108343,0.00361144,0.0108343,0.00361144,0.0108343,0.00361144,0.0108343,0.00361144
120,51986.9,0.42245,0.22667,0.86625,0.99991,0.99806,0.995,0.96308,0.2777,0.14225,0.79774,0.0106088,0.00353627,0.0106088,0.00353627,0.0106088,0.00353627,0.0106088,0.00353627
121,52348,0.41988,0.22925,0.87131,0.99991,0.99806,0.995,0.9627,0.27685,0.14198,0.79737,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146
122,52709,0.41297,0.22287,0.8697,0.99991,0.99806,0.995,0.96279,0.27616,0.14138,0.79711,0.0101611,0.00338703,0.0101611,0.00338703,0.0101611,0.00338703,0.0101611,0.00338703
123,53079.8,0.41415,0.2241,0.86861,0.99991,0.99806,0.995,0.96282,0.2754,0.14107,0.79684,0.00993901,0.003313,0.00993901,0.003313,0.00993901,0.003313,0.00993901,0.003313
124,53465.8,0.41155,0.22148,0.86755,0.99991,0.99806,0.995,0.96324,0.27475,0.14116,0.79673,0.00971818,0.00323939,0.00971818,0.00323939,0.00971818,0.00323939,0.00971818,0.00323939
125,53830.7,0.40823,0.22214,0.86737,0.99991,0.99806,0.995,0.96328,0.27396,0.14056,0.79647,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622
126,54196.3,0.40708,0.22167,0.86515,0.99991,0.99806,0.995,0.96429,0.2732,0.14074,0.7961,0.00928049,0.0030935,0.00928049,0.0030935,0.00928049,0.0030935,0.00928049,0.0030935
127,54563.2,0.40147,0.21758,0.86273,0.99991,0.99806,0.995,0.96338,0.27256,0.14055,0.79581,0.00906374,0.00302125,0.00906374,0.00302125,0.00906374,0.00302125,0.00906374,0.00302125
128,54937.5,0.40018,0.21824,0.8612,0.99991,0.99806,0.995,0.96425,0.27174,0.14051,0.79554,0.00884846,0.00294949,0.00884846,0.00294949,0.00884846,0.00294949,0.00884846,0.00294949
129,55319.3,0.39987,0.21574,0.8636,0.99991,0.99806,0.995,0.96541,0.27096,0.14039,0.79531,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823
